building_tag,longitude,latitude,day,hour,students_number
YORK,32.874554,-117.240005,M,12,35
WFH,32.886956,-117.241839,M,10,42
WFH,32.886956,-117.241839,Tu,08,52
SME,32.87989,-117.233139,W,12,45
PCYNH,32.878422,-117.233767,M,12,140
HSS,32.878391,-117.241665,F,12,168
MAYER,32.875322,-117.24019,Tu,13,64
SEQUO,32.882173,-117.240561,M,09,42
BONN,32.875415,-117.240332,Th,11,0
CENTR,32.877773,-117.237262,W,12,930
SEQUO,32.882173,-117.240561,Tu,09,79
SME,32.87989,-117.233139,M,14,45
WLH,32.880558,-117.234319,Tu,19,90
WFH,32.886956,-117.241839,Th,11,112
MCGIL,32.879049,-117.242043,Th,16,29
WFH,32.886956,-117.241839,Th,10,100
HSS,32.878391,-117.241665,Tu,09,166
GH,32.873717,-117.240975,W,11,16
MYR-A,32.875268,-117.240194,Th,10,43
HSS,32.878391,-117.241665,Th,18,66
APM,32.879039,-117.241028,M,08,101
SEQUO,32.882173,-117.240561,W,11,28
SEQUO,32.882173,-117.240561,W,08,0
APM,32.879039,-117.241028,M,13,175
HUBBS,32.867457,-117.253423,F,13,23
CSB,32.880547,-117.239444,Tu,08,67
MANDE,32.877866,-117.239432,Th,18,71
CENTR,32.877773,-117.237262,Tu,17,247
WFH,32.886956,-117.241839,M,18,102
PCYNH,32.878422,-117.233767,Tu,12,163
VAUGN,32.865324,-117.252961,Th,12,35
GH,32.873717,-117.240975,Tu,17,62
CSB,32.880547,-117.239444,W,11,134
PETER,32.880013,-117.240351,M,15,138
CENTR,32.877773,-117.237262,Tu,09,585
EBU3B,32.881835,-117.233523,Th,15,17
MYR-A,32.875268,-117.240194,Tu,13,50
APM,32.879039,-117.241028,F,13,180
MAYER,32.875322,-117.24019,Tu,12,67
WLH,32.880558,-117.234319,Tu,09,111
MYR-A,32.875268,-117.240194,Th,11,48
APM,32.879039,-117.241028,F,08,77
EBU3B,32.881835,-117.233523,Th,09,0
LEDDN,32.878867,-117.241695,W,12,115
HSS,32.878391,-117.241665,Th,10,176
SOLIS,32.880931,-117.239798,Tu,08,55
PETER,32.880013,-117.240351,M,08,133
PETER,32.880013,-117.240351,F,10,217
CENTR,32.877773,-117.237262,M,13,853
WFH,32.886956,-117.241839,W,19,86
PETER,32.880013,-117.240351,Tu,09,53
SOLIS,32.880931,-117.239798,Th,12,62
SEQUO,32.882173,-117.240561,Tu,17,78
MANDE,32.877866,-117.239432,W,13,266
APM,32.879039,-117.241028,Tu,12,144
SME,32.87989,-117.233139,F,09,0
YORK,32.874554,-117.240005,W,11,58
MANDE,32.877866,-117.239432,W,08,84
CSB,32.880547,-117.239444,W,16,70
PCYNH,32.878422,-117.233767,M,08,114
PSB,32.874227,-117.235699,W,09,0
OTRSN,32.88662,-117.241109,Tu,17,21
MCGIL,32.879049,-117.242043,M,11,19
HSS,32.878391,-117.241665,Tu,13,207
CENTR,32.877773,-117.237262,F,10,238
OTRSN,32.88662,-117.241109,Th,17,21
SME,32.87989,-117.233139,Th,12,21
HSS,32.878391,-117.241665,Th,08,34
YORK,32.874554,-117.240005,Tu,20,46
GH,32.873717,-117.240975,Th,15,89
HSS,32.878391,-117.241665,W,16,208
SME,32.87989,-117.233139,M,09,56
PCYNH,32.878422,-117.233767,F,12,11
CSB,32.880547,-117.239444,Th,14,228
SEQUO,32.882173,-117.240561,Th,19,37
EBU2,32.881243,-117.233615,Tu,10,0
GH,32.873717,-117.240975,M,13,86
HUBBS,32.867457,-117.253423,W,13,23
YORK,32.874554,-117.240005,Tu,12,119
PETER,32.880013,-117.240351,Th,10,53
PETER,32.880013,-117.240351,W,19,103
GH,32.873717,-117.240975,W,09,125
HSS,32.878391,-117.241665,M,10,190
HUBBS,32.867457,-117.253423,Tu,10,23
WLH,32.880558,-117.234319,Th,19,90
NSB,32.875274,-117.242808,Th,12,0
MYR-A,32.875268,-117.240194,Tu,11,48
YORK,32.874554,-117.240005,W,19,78
MANDE,32.877866,-117.239432,Th,13,192
WLH,32.880558,-117.234319,W,09,187
HSS,32.878391,-117.241665,M,17,71
PETER,32.880013,-117.240351,W,14,215
WFH,32.886956,-117.241839,W,16,16
APM,32.879039,-117.241028,W,15,127
MANDE,32.877866,-117.239432,Tu,16,86
HUBBS,32.867457,-117.253423,W,11,23
MCGIL,32.879049,-117.242043,Tu,16,29
GH,32.873717,-117.240975,W,17,63
MAYER,32.875322,-117.24019,Th,09,22
SSB,32.883965,-117.240439,Tu,08,29
SOLIS,32.880931,-117.239798,W,16,103
ECKRT,32.86716,-117.252589,Tu,13,12
YORK,32.874554,-117.240005,M,19,78
EBU3B,32.881835,-117.233523,Tu,12,12
PETER,32.880013,-117.240351,W,11,901
PCYNH,32.878422,-117.233767,Th,17,93
HSS,32.878391,-117.241665,M,18,71
YORK,32.874554,-117.240005,Th,17,159
WLH,32.880558,-117.234319,Th,11,425
OTRSN,32.88662,-117.241109,F,16,0
CENTR,32.877773,-117.237262,W,15,609
MANDE,32.877866,-117.239432,M,15,232
GH,32.873717,-117.240975,W,12,86
WLH,32.880558,-117.234319,Tu,10,134
MCGIL,32.879049,-117.242043,F,12,19
PCYNH,32.878422,-117.233767,W,08,114
CSB,32.880547,-117.239444,M,08,50
HUBBS,32.867457,-117.253423,W,09,23
APM,32.879039,-117.241028,Th,15,147
PETER,32.880013,-117.240351,Tu,13,352
OTRSN,32.88662,-117.241109,W,12,15
LEDDN,32.878867,-117.241695,Th,15,79
MAYER,32.875322,-117.24019,Th,10,71
CSB,32.880547,-117.239444,Th,20,37
SEQUO,32.882173,-117.240561,Th,14,67
EBU3B,32.881835,-117.233523,M,11,27
